App;Architecture;Scenario;Interval_ms;Run;Avg_Latency_ms;Min_Latency_ms;Max_Latency_ms;P50_Latency_ms;P95_Latency_ms;P99_Latency_ms;Latency_Samples;Total_Updates;Measured_Duration_ms;CPU_Modal_percent;CPU_Peak_percent;RAM_Peak_MB;Total_Frames_Rendered;Janky_Frames_Count;Janky_Frames_Percent;Frame_P50_ms;Frame_P90_ms;Frame_P95_ms;Frame_P99_ms;Missed_Vsync_Count;Slow_UI_Thread_Count;Slow_Draw_Commands_Count
RN;New Architecture;Real-time updates;200;8;54,21;27,43;67,69;54,52;64,36;66,73;300;301;60002;5;7;145,2;382;345;90,31;30;44;46;48;0;342;315
RN;New Architecture;Real-time updates;200;9;52,48;23,05;66,75;54,11;63,69;65,52;300;301;59998;5;6;146;381;336;88,19;28;36;40;44;0;329;276
RN;New Architecture;Real-time updates;200;10;53,12;25,86;67,21;54,27;64,01;66,09;300;301;60006;5;6;145,5;382;342;89,53;29;40;42;46;0;336;301
;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;New Architecture;Real-time updates;1000;1;62,57;34,56;84,13;57,64;82,2;84,13;60;61;60012;1;5;143,9;104;69;66,35;29;34;40;46;0;69;60
RN;New Architecture;Real-time updates;1000;2;55,79;30,56;77,62;54,27;73,36;77,62;60;61;59992;0;4;141,8;104;70;67,31;27;32;34;36;0;70;59
RN;New Architecture;Real-time updates;1000;3;61,1;42,57;78,1;56,73;72,56;78,1;60;61;59997;0;3;142,1;103;71;68,93;30;34;38;40;0;71;61
RN;New Architecture;Real-time updates;1000;4;61,89;52,34;81,09;55,24;80,08;81,09;60;61;59996;1;3;145,1;103;72;69,9;30;34;38;40;0;72;64
RN;New Architecture;Real-time updates;1000;5;42,21;28,23;61,6;41,04;58,69;61,6;60;61;59997;0;3;144,2;103;65;63,11;25;30;32;38;0;65;46
RN;New Architecture;Real-time updates;1000;6;56,84;31,42;79,36;54,82;74,91;79,36;60;61;59998;0;4;143,5;104;68;65,38;28;32;36;40;0;68;57
RN;New Architecture;Real-time updates;1000;7;60,73;39,28;82,47;56,18;79,64;82,47;60;61;60004;1;4;144,6;103;70;67,96;29;34;38;42;0;70;62
RN;New Architecture;Real-time updates;1000;8;52,96;29,14;75,83;53,91;71,88;75,83;60;61;59994;0;3;142,7;104;67;64,42;27;31;34;38;0;67;53
RN;New Architecture;Real-time updates;1000;9;61,42;44,06;80,72;56,94;78,32;80,72;60;61;60001;1;3;145;103;71;68,93;30;34;38;40;0;71;60
RN;New Architecture;Real-time updates;1000;10;48,77;28,86;68,95;47,32;64,27;68,95;60;61;59999;0;3;143,8;103;66;64,08;25;30;34;38;0;66;49
;;;;;;;;;;;;;;;;;;;;;;;;;;
Native;Android;Real-time updates;50;1;11,38;1;21;12;18;19;1200;1200;60000;4;4;91,6;1445;12;0,83;18;19;19;19;0;12;0
Native;Android;Real-time updates;50;2;9,75;1;20;10;18;19;1200;1200;60000;3;4;92,7;1444;9;0,62;18;18;19;19;0;9;0
Native;Android;Real-time updates;50;3;9,84;1;22;9;19;19;1200;1200;60000;3;4;93,2;1445;9;0,62;18;19;19;19;0;9;1
